X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
98,5145,294,11025,7,2,0,0,1555,2133
98,5145,294,11025,7,3,0,0,1555,2133
98,5145,294,11025,7,4,0,0,1555,2133
98,5145,294,11025,7,5,0,0,1555,2133
9,5635,3185,1225,7,2,0,0,2084,2828
9,5635,3185,1225,7,3,0,0,2146,2538
9,5635,3185,1225,7,4,0,0,2071,2516
9,5635,3185,1225,7,5,0,0,1968,296
86,588,294,147,7,2,0,0,195,273
86,588,294,147,7,3,0,0,1995,2197
86,588,294,147,7,4,0,0,1934,2349
86,588,294,147,7,5,0,0,1831,2787
82,6125,3185,147,7,2,0,0,1705,2377
82,6125,3185,147,7,3,0,0,1741,2146
82,6125,3185,147,7,4,0,0,1695,2116
82,6125,3185,147,7,5,0,0,1598,2493
79,637,343,147,7,2,0,0,2852,3773
79,637,343,147,7,3,0,0,299,3127
79,637,343,147,7,4,0,0,2963,3093
79,637,343,147,7,5,0,0,2875,3944
76,6615,4165,1225,7,2,0,0,2477,2979
76,6615,4165,1225,7,3,0,0,2393,2968
76,6615,4165,1225,7,4,0,0,2477,2979
76,6615,4165,1225,7,5,0,0,2393,294
74,686,245,2205,35,2,0,0,607,109
74,686,245,2205,35,3,0,0,605,1119
74,686,245,2205,35,4,0,0,601,1094
74,686,245,2205,35,5,0,0,604,1117
71,7105,2695,2205,35,2,0,0,637,1127
71,7105,2695,2205,35,3,0,0,64,1172
71,7105,2695,2205,35,4,0,0,637,1129
71,7105,2695,2205,35,5,0,0,64,1167
69,735,294,2205,35,2,0,0,685,1174
69,735,294,2205,35,3,0,0,679,1205
69,735,294,2205,35,4,0,0,677,1173
69,735,294,2205,35,5,0,0,681,1193
66,7595,3185,2205,35,2,0,0,718,124
66,7595,3185,2205,35,3,0,0,71,1223
66,7595,3185,2205,35,4,0,0,71,124
66,7595,3185,2205,35,5,0,0,71,1214
64,784,343,2205,35,2,0,0,1085,1678
64,784,343,2205,35,3,0,0,1054,168
64,784,343,2205,35,4,0,0,1077,1675
64,784,343,2205,35,5,0,0,1056,1667
62,8085,3675,2205,35,2,0,0,86,1207
62,8085,3675,2205,35,3,0,0,849,1222
62,8085,3675,2205,35,4,0,0,845,1208
62,8085,3675,2205,35,5,0,0,85,1204
98,5145,294,11025,7,2,1,1,2458,2647
98,5145,294,11025,7,3,1,1,2463,2637
98,5145,294,11025,7,4,1,1,2463,2644
98,5145,294,11025,7,5,1,1,2459,2629
9,5635,3185,1225,7,2,1,1,2903,3292
9,5635,3185,1225,7,3,1,1,2987,2987
9,5635,3185,1225,7,4,1,1,2914,2958
9,5635,3185,1225,7,5,1,1,2809,3433
86,588,294,147,7,2,1,1,2628,3089
86,588,294,147,7,3,1,1,2691,256
86,588,294,147,7,4,1,1,2637,2703
86,588,294,147,7,5,1,1,2527,3173
82,6125,3185,147,7,2,1,1,2353,2731
82,6125,3185,147,7,3,1,1,2403,2491
82,6125,3185,147,7,4,1,1,2354,2461
82,6125,3185,147,7,5,1,1,2258,2851
79,637,343,147,7,2,1,1,3556,4168
79,637,343,147,7,3,1,1,3712,3528
79,637,343,147,7,4,1,1,369,3443
79,637,343,147,7,5,1,1,3594,4333
76,6615,4165,1225,7,2,1,1,3296,3387
76,6615,4165,1225,7,3,1,1,3212,3407
76,6615,4165,1225,7,4,1,1,3294,3414
76,6615,4165,1225,7,5,1,1,3221,3367
74,686,245,2205,35,2,1,1,1036,1343
74,686,245,2205,35,3,1,1,1043,1371
74,686,245,2205,35,4,1,1,1036,1348
74,686,245,2205,35,5,1,1,1039,137
71,7105,2695,2205,35,2,1,1,1071,138
71,7105,2695,2205,35,3,1,1,108,1428
71,7105,2695,2205,35,4,1,1,107,1387
71,7105,2695,2205,35,5,1,1,1075,1427
69,735,294,2205,35,2,1,1,1111,1428
69,735,294,2205,35,3,1,1,1113,1461
69,735,294,2205,35,4,1,1,1109,143
69,735,294,2205,35,5,1,1,1116,1445
66,7595,3185,2205,35,2,1,1,1168,139
66,7595,3185,2205,35,3,1,1,1169,1372
66,7595,3185,2205,35,4,1,1,117,1388
66,7595,3185,2205,35,5,1,1,1169,1365
64,784,343,2205,35,2,1,1,1541,1937
64,784,343,2205,35,3,1,1,152,1943
64,784,343,2205,35,4,1,1,1542,1934
64,784,343,2205,35,5,1,1,1521,1932
62,8085,3675,2205,35,2,1,1,1296,1434
62,8085,3675,2205,35,3,1,1,1297,145
62,8085,3675,2205,35,4,1,1,1293,1433
62,8085,3675,2205,35,5,1,1,1302,1427
98,5145,294,11025,7,2,1,2,2429,2595
98,5145,294,11025,7,3,1,2,2431,2563
98,5145,294,11025,7,4,1,2,2413,2613
98,5145,294,11025,7,5,1,2,2425,2589
9,5635,3185,1225,7,2,1,2,2888,3254
9,5635,3185,1225,7,3,1,2,2968,2944
9,5635,3185,1225,7,4,1,2,2883,2936
9,5635,3185,1225,7,5,1,2,279,342
86,588,294,147,7,2,1,2,2648,3091
86,588,294,147,7,3,1,2,2702,2563
86,588,294,147,7,4,1,2,2633,2736
86,588,294,147,7,5,1,2,2536,319
82,6125,3185,147,7,2,1,2,2375,2738
82,6125,3185,147,7,3,1,2,2423,2502
82,6125,3185,147,7,4,1,2,2367,248
82,6125,3185,147,7,5,1,2,2279,2879
79,637,343,147,7,2,1,2,3565,4107
79,637,343,147,7,3,1,2,3726,3462
79,637,343,147,7,4,1,2,3697,3387
79,637,343,147,7,5,1,2,3603,4286
76,6615,4165,1225,7,2,1,2,3316,3391
76,6615,4165,1225,7,3,1,2,324,3407
76,6615,4165,1225,7,4,1,2,3312,3417
76,6615,4165,1225,7,5,1,2,3241,3378
74,686,245,2205,35,2,1,2,1042,1339
74,686,245,2205,35,3,1,2,1046,1372
74,686,245,2205,35,4,1,2,1032,1357
74,686,245,2205,35,5,1,2,1045,1379
71,7105,2695,2205,35,2,1,2,1064,1367
71,7105,2695,2205,35,3,1,2,1072,1411
71,7105,2695,2205,35,4,1,2,1055,138
71,7105,2695,2205,35,5,1,2,1068,1421
69,735,294,2205,35,2,1,2,1145,132
69,735,294,2205,35,3,1,2,1146,1354
69,735,294,2205,35,4,1,2,1132,1332
69,735,294,2205,35,5,1,2,1149,1351
66,7595,3185,2205,35,2,1,2,1145,1486
66,7595,3185,2205,35,3,1,2,1142,1475
66,7595,3185,2205,35,4,1,2,1133,15
66,7595,3185,2205,35,5,1,2,1143,1474
64,784,343,2205,35,2,1,2,1541,1923
64,784,343,2205,35,3,1,2,1518,1934
64,784,343,2205,35,4,1,2,1534,1932
64,784,343,2205,35,5,1,2,1519,193
62,8085,3675,2205,35,2,1,2,1288,1437
62,8085,3675,2205,35,3,1,2,13,1457
62,8085,3675,2205,35,4,1,2,1297,1427
62,8085,3675,2205,35,5,1,2,1304,1424
98,5145,294,11025,7,2,1,3,2428,2568
98,5145,294,11025,7,3,1,3,244,2602
98,5145,294,11025,7,4,1,3,2411,2584
98,5145,294,11025,7,5,1,3,2435,2614
9,5635,3185,1225,7,2,1,3,2807,3414
9,5635,3185,1225,7,3,1,3,2901,3285
9,5635,3185,1225,7,4,1,3,2962,3008
9,5635,3185,1225,7,5,1,3,2905,2967
86,588,294,147,7,2,1,3,2541,3173
86,588,294,147,7,3,1,3,2647,3101
86,588,294,147,7,4,1,3,2689,259
86,588,294,147,7,5,1,3,2646,274
82,6125,3185,147,7,2,1,3,2293,2868
82,6125,3185,147,7,3,1,3,2384,2754
82,6125,3185,147,7,4,1,3,2417,2535
82,6125,3185,147,7,5,1,3,2387,2493
79,637,343,147,7,2,1,3,3578,4312
79,637,343,147,7,3,1,3,3548,4122
79,637,343,147,7,4,1,3,3697,351
79,637,343,147,7,5,1,3,367,3429
76,6615,4165,1225,7,2,1,3,3252,3385
76,6615,4165,1225,7,3,1,3,3328,3411
76,6615,4165,1225,7,4,1,3,3233,3448
76,6615,4165,1225,7,5,1,3,3324,345
74,686,245,2205,35,2,1,3,1039,136
74,686,245,2205,35,3,1,3,1034,1336
74,686,245,2205,35,4,1,3,1035,1365
74,686,245,2205,35,5,1,3,1038,1349
71,7105,2695,2205,35,2,1,3,1077,1414
71,7105,2695,2205,35,3,1,3,1068,1377
71,7105,2695,2205,35,4,1,3,1068,143
71,7105,2695,2205,35,5,1,3,107,1387
69,735,294,2205,35,2,1,3,1122,1444
69,735,294,2205,35,3,1,3,1116,1427
69,735,294,2205,35,4,1,3,111,1467
69,735,294,2205,35,5,1,3,1114,144
66,7595,3185,2205,35,2,1,3,1159,1346
66,7595,3185,2205,35,3,1,3,116,137
66,7595,3185,2205,35,4,1,3,1153,1359
66,7595,3185,2205,35,5,1,3,1161,1383
64,784,343,2205,35,2,1,3,1516,1914
64,784,343,2205,35,3,1,3,1536,1918
64,784,343,2205,35,4,1,3,1512,1937
64,784,343,2205,35,5,1,3,1536,1929
62,8085,3675,2205,35,2,1,3,1268,1409
62,8085,3675,2205,35,3,1,3,1263,1423
62,8085,3675,2205,35,4,1,3,1271,1414
62,8085,3675,2205,35,5,1,3,1273,1389
98,5145,294,11025,7,2,1,4,2438,2591
98,5145,294,11025,7,3,1,4,2423,2572
98,5145,294,11025,7,4,1,4,2404,2618
98,5145,294,11025,7,5,1,4,2432,2587
9,5635,3185,1225,7,2,1,4,2906,2934
9,5635,3185,1225,7,3,1,4,2805,3391
9,5635,3185,1225,7,4,1,4,2886,3283
9,5635,3185,1225,7,5,1,4,2979,2992
86,588,294,147,7,2,1,4,2644,2717
86,588,294,147,7,3,1,4,2537,3176
86,588,294,147,7,4,1,4,2633,3106
86,588,294,147,7,5,1,4,2703,2581
82,6125,3185,147,7,2,1,4,238,2461
82,6125,3185,147,7,3,1,4,228,2861
82,6125,3185,147,7,4,1,4,2359,2757
82,6125,3185,147,7,5,1,4,2424,2516
79,637,343,147,7,2,1,4,3686,3425
79,637,343,147,7,3,1,4,3589,433
79,637,343,147,7,4,1,4,3545,4186
79,637,343,147,7,5,1,4,371,3529
76,6615,4165,1225,7,2,1,4,3308,3411
76,6615,4165,1225,7,3,1,4,3238,3362
76,6615,4165,1225,7,4,1,4,3309,3389
76,6615,4165,1225,7,5,1,4,3231,3405
74,686,245,2205,35,2,1,4,1008,132
74,686,245,2205,35,3,1,4,1015,1336
74,686,245,2205,35,4,1,4,1007,1321
74,686,245,2205,35,5,1,4,1014,1353
71,7105,2695,2205,35,2,1,4,1066,1367
71,7105,2695,2205,35,3,1,4,1068,1412
71,7105,2695,2205,35,4,1,4,1053,1379
71,7105,2695,2205,35,5,1,4,1072,142
69,735,294,2205,35,2,1,4,1118,1429
69,735,294,2205,35,3,1,4,1122,1449
69,735,294,2205,35,4,1,4,1107,1442
69,735,294,2205,35,5,1,4,112,1473
